Compound,DateHapp,Negative,Neutral,Positive,Tweets Ago,source
-0.4215,2017-12-03 00:15:11+00:00,0.851,0.149,0.0,57,CNN
0.4019,2017-12-03 00:00:15+00:00,0.863,0.0,0.137,56,CNN
0.4939,2017-11-30 01:23:14+00:00,0.61,0.0,0.39,56,fox
0.5542,2017-11-30 03:59:09+00:00,0.796,0.0,0.204,56,CBS
0.0,2017-12-02 11:00:08+00:00,1.0,0.0,0.0,56,BBC
0.4588,2017-12-03 00:44:42+00:00,0.833,0.0,0.167,56,nytimes
0.8221,2017-11-30 01:11:27+00:00,0.677,0.0,0.323,55,fox
-0.6801,2017-12-02 10:30:06+00:00,0.728,0.272,0.0,55,BBC
0.0,2017-11-30 03:55:37+00:00,1.0,0.0,0.0,55,CBS
0.0,2017-12-03 00:27:38+00:00,1.0,0.0,0.0,55,nytimes
0.0,2017-12-02 23:45:06+00:00,1.0,0.0,0.0,55,CNN
-0.4222,2017-12-02 23:35:02+00:00,0.82,0.127,0.053,54,CNN
0.34,2017-11-30 01:09:23+00:00,0.888,0.0,0.112,54,fox
0.7845,2017-12-02 10:00:03+00:00,0.711,0.0,0.289,54,BBC
0.0,2017-11-30 03:51:38+00:00,1.0,0.0,0.0,54,CBS
0.25,2017-12-03 00:00:11+00:00,0.9,0.0,0.1,54,nytimes
0.1065,2017-12-02 09:04:04+00:00,0.617,0.176,0.208,53,BBC
0.0,2017-11-30 00:01:30+00:00,1.0,0.0,0.0,53,fox
-0.4215,2017-12-02 23:46:02+00:00,0.865,0.135,0.0,53,nytimes
0.0,2017-11-30 03:44:54+00:00,1.0,0.0,0.0,53,CBS
-0.5859,2017-12-02 23:30:11+00:00,0.714,0.286,0.0,53,CNN
0.7482,2017-11-30 03:37:13+00:00,0.566,0.0,0.434,52,CBS
0.2023,2017-12-02 08:33:04+00:00,0.909,0.0,0.091,52,BBC
0.0,2017-12-02 23:15:04+00:00,1.0,0.0,0.0,52,CNN
-0.4215,2017-11-29 23:51:30+00:00,0.726,0.197,0.077,52,fox
0.0,2017-12-02 23:36:09+00:00,1.0,0.0,0.0,52,nytimes
0.4767,2017-12-02 08:05:04+00:00,0.709,0.0,0.291,51,BBC
